Timestamp,Score,uid,time,name,target,info,state,version
11/6/2022 17:49:17,,Windows-Chrome-3045230429706778,1667778556435,cell_changed,td#sc4.sudoku-cell,"{""answerBefore"":null,""answerAfter"":null,""workBefore"":0,""workAfter"":0}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=33597&size=2,B
11/6/2022 17:49:17,,Windows-Chrome-3045230429706778,1667778556434,mousedown,div#sn4.sudoku-answer,"{""which"":1,""pageX"":688,""pageY"":289}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=33597&size=2,B
11/6/2022 17:49:18,,Windows-Chrome-3045230429706778,1667778557411,keydown,body,"{""which"":39}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=48564&size=2,B
11/6/2022 17:49:18,,Windows-Chrome-3045230429706778,1667778557838,keydown,body,"{""which"":40}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=48564&size=2,B
11/6/2022 17:49:20,,Windows-Chrome-3045230429706778,1667778558884,cell_changed,td#sc8.sudoku-cell,"{""answerBefore"":null,""answerAfter"":null,""workBefore"":0,""workAfter"":0}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=48564&size=2,B
11/6/2022 17:49:20,,Windows-Chrome-3045230429706778,1667778558883,mousedown,div#sn8.sudoku-answer,"{""which"":1,""pageX"":692,""pageY"":341}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=48564&size=2,B
11/6/2022 17:49:38,,Windows-Chrome-3045230429706778,1667778577235,mousedown,div.sudoku-answer.nk2,"{""which"":1,""pageX"":494,""pageY"":278}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=51015&size=2,B
11/6/2022 17:49:40,,Windows-Chrome-3045230429706778,1667778579255,mousedown,div#sn12.sudoku-answer,"{""which"":1,""pageX"":700,""pageY"":385}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=51015&size=2,B
11/6/2022 17:49:40,,Windows-Chrome-3045230429706778,1667778579256,cell_changed,td#sc12.sudoku-cell,"{""answerBefore"":null,""answerAfter"":1,""workBefore"":0,""workAfter"":0}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667664114938&elapsed=51015&size=2,B
11/6/2022 17:49:42,,Windows-Chrome-3045230429706778,1667778581160,mousedown,div.sudoku-answer.nk1,"{""which"":1,""pageX"":493,""pageY"":233}",#puzzle=3040000001030000&answer=0000000000002000&work=&seed=2&gentime=1667664114938&elapsed=71387&size=2,B
11/6/2022 17:49:45,,Windows-Chrome-3045230429706778,1667778584232,cell_changed,td#sc14.sudoku-cell,"{""answerBefore"":null,""answerAfter"":0,""workBefore"":0,""workAfter"":0}",#puzzle=3040000001030000&answer=0000000000002000&work=&seed=2&gentime=1667664114938&elapsed=71387&size=2,B
11/6/2022 17:49:45,,Windows-Chrome-3045230429706778,1667778584231,mousedown,div#sn14.sudoku-answer,"{""which"":1,""pageX"":785,""pageY"":385}",#puzzle=3040000001030000&answer=0000000000002000&work=&seed=2&gentime=1667664114938&elapsed=71387&size=2,B
11/6/2022 17:49:48,,Windows-Chrome-3045230429706778,1667778587211,mousedown,input#prevbutton,"{""which"":1,""pageX"":813,""pageY"":444}",#puzzle=3040000001030000&answer=0000000000002010&work=&seed=2&gentime=1667664114938&elapsed=76361&size=2,B
11/6/2022 17:49:48,,Windows-Chrome-3045230429706778,1667778587433,setupgame,document,"{""seed"":1}",#puzzle=3040000001030000&answer=0000000000002010&work=&seed=2&gentime=1667664114938&elapsed=76361&size=2,B
11/6/2022 17:49:51,,Windows-Chrome-3045230429706778,1667778590259,mousedown,input#nextbutton,"{""which"":1,""pageX"":883,""pageY"":448}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:49:51,,Windows-Chrome-3045230429706778,1667778590471,setupgame,document,"{""seed"":2}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:49:52,,Windows-Chrome-3045230429706778,1667778592066,mousedown,input#prevbutton,"{""which"":1,""pageX"":808,""pageY"":428}",#puzzle=3040000001030000&answer=0000000000002010&work=&seed=2&gentime=1667664114938&elapsed=76361&size=2,B
11/6/2022 17:49:53,,Windows-Chrome-3045230429706778,1667778592282,setupgame,document,"{""seed"":1}",#puzzle=3040000001030000&answer=0000000000002010&work=&seed=2&gentime=1667664114938&elapsed=76361&size=2,B
11/6/2022 17:49:54,,Windows-Chrome-3045230429706778,1667778593226,mousedown,input#nextbutton,"{""which"":1,""pageX"":890,""pageY"":446}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:49:54,,Windows-Chrome-3045230429706778,1667778593439,setupgame,document,"{""seed"":2}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:49:56,,Windows-Chrome-3045230429706778,1667778595423,mousedown,input#checkbutton,"{""which"":1,""pageX"":732,""pageY"":430}",#puzzle=3040000001030000&answer=0000000000002010&work=&seed=2&gentime=1667664114938&elapsed=76361&size=2,B
11/6/2022 17:49:57,,Windows-Chrome-3045230429706778,1667778596338,mousedown,input#checkbutton,"{""which"":1,""pageX"":732,""pageY"":430}",#puzzle=3040000001030000&answer=0000000000002010&work=&seed=2&gentime=1667664114938&elapsed=76361&size=2,B
11/6/2022 17:49:58,,Windows-Chrome-3045230429706778,1667778597540,mousedown,input#clearbutton,"{""which"":1,""pageX"":655,""pageY"":435}",#puzzle=3040000001030000&answer=0000000000002010&work=&seed=2&gentime=1667664114938&elapsed=76361&size=2,B
11/6/2022 17:50:02,,Windows-Chrome-3045230429706778,1667778601287,mousedown,input#nextbutton,"{""which"":1,""pageX"":870,""pageY"":440}",#puzzle=3040000001030000&answer=&work=&seed=2&gentime=1667778597751&elapsed=1&size=2,B
11/6/2022 17:50:02,,Windows-Chrome-3045230429706778,1667778601507,setupgame,document,"{""seed"":3}",#puzzle=3040000001030000&answer=&work=&seed=2&gentime=1667778597751&elapsed=1&size=2,B
11/6/2022 17:50:03,,Windows-Chrome-3045230429706778,1667778602613,mousedown,input#prevbutton,"{""which"":1,""pageX"":812,""pageY"":441}",#puzzle=1300000000030400&answer=&work=&seed=3&gentime=1667778601513&elapsed=0&size=2,B
11/6/2022 17:50:04,,Windows-Chrome-3045230429706778,1667778602832,setupgame,document,"{""seed"":2}",#puzzle=1300000000030400&answer=&work=&seed=3&gentime=1667778601513&elapsed=0&size=2,B
11/6/2022 17:50:04,,Windows-Chrome-3045230429706778,1667778603245,mousedown,input#prevbutton,"{""which"":1,""pageX"":812,""pageY"":441}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667778597751&elapsed=1&size=2,B
11/6/2022 17:50:04,,Windows-Chrome-3045230429706778,1667778603458,setupgame,document,"{""seed"":1}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667778597751&elapsed=1&size=2,B
11/6/2022 17:50:05,,Windows-Chrome-3045230429706778,1667778604247,mousedown,input#prevbutton,"{""which"":1,""pageX"":812,""pageY"":441}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:50:05,,Windows-Chrome-3045230429706778,1667778604466,setupgame,document,"{""seed"":1}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:50:07,,Windows-Chrome-3045230429706778,1667778606684,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:50:07,,Windows-Chrome-3045230429706778,1667778606848,setupgame,document,"{""seed"":2}",#puzzle=0000023040010000&answer=0000000000000000&work=&seed=1&gentime=1667664058287&elapsed=0&size=2,B
11/6/2022 17:50:07,,Windows-Chrome-3045230429706778,1667778606849,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667778597751&elapsed=1&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607024,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=1300000000030400&answer=0000000000000000&work=&seed=3&gentime=1667778601513&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607022,setupgame,document,"{""seed"":3}",#puzzle=3040000001030000&answer=0000000000000000&work=&seed=2&gentime=1667778597751&elapsed=1&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607197,setupgame,document,"{""seed"":4}",#puzzle=1300000000030400&answer=0000000000000000&work=&seed=3&gentime=1667778601513&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607201,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0020000440010000&answer=&work=&seed=4&gentime=1667778607200&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607383,setupgame,document,"{""seed"":5}",#puzzle=0020000440010000&answer=&work=&seed=4&gentime=1667778607200&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607385,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=2004010214000000&answer=&work=&seed=5&gentime=1667778607384&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607548,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=2300000000210000&answer=&work=&seed=6&gentime=1667778607546&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607544,setupgame,document,"{""seed"":6}",#puzzle=2004010214000000&answer=&work=&seed=5&gentime=1667778607384&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607730,setupgame,document,"{""seed"":7}",#puzzle=2300000000210000&answer=&work=&seed=6&gentime=1667778607546&elapsed=0&size=2,B
11/6/2022 17:50:08,,Windows-Chrome-3045230429706778,1667778607732,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0430000130100000&answer=&work=&seed=7&gentime=1667778607731&elapsed=0&size=2,B
11/6/2022 17:50:09,,Windows-Chrome-3045230429706778,1667778607948,setupgame,document,"{""seed"":8}",#puzzle=0430000130100000&answer=&work=&seed=7&gentime=1667778607731&elapsed=0&size=2,B
11/6/2022 17:50:11,,Windows-Chrome-3045230429706778,1667778610447,mousedown,input#nextbutton,"{""which"":1,""pageX"":887,""pageY"":441}",#puzzle=0020300010000030&answer=&work=&seed=8&gentime=1667778607949&elapsed=0&size=2,B
